,crop,District,Year,Season,Area (Hectare),Production (Tonnes),Yield (Tonnes/Hectare),jan,feb,march,april,may,june,july,august,sept,oct,nov,dec
0,Arhar/Tur,Ahmadabad, 2014-15,Kharif     ,701.0,763,1.09,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
1,Bajra,Ahmadabad, 2014-15,Kharif     ,1825.0,2160,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
2,Castor seed,Ahmadabad, 2014-15,Kharif     ,47635.0,76488,1.61,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
3,Cotton(lint),Ahmadabad, 2014-15,Kharif     ,159044.0,266317,1.67,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
4,Groundnut,Ahmadabad, 2014-15,Kharif     ,74.0,150,2.03,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
5,Moong(Green Gram),Ahmadabad, 2014-15,Kharif     ,430.0,213,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
6,Moth,Ahmadabad, 2014-15,Kharif     ,970.0,713,0.74,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
7,Other Cereals,Ahmadabad, 2014-15,Kharif     ,50.0,28,0.56,0.0,0.0,0.0,0.0,0.0,0.3,1.15,1.15,0.4,0.0,0.0,0.0
8,Other Kharif pulses,Ahmadabad, 2014-15,Kharif     ,2640.0,1180,0.45,0.0,0.0,0.0,0.0,0.0,0.4,1.25,1.25,0.75,0.0,0.0,0.0
9,Rice,Ahmadabad, 2014-15,Kharif     ,116904.0,305692,2.61,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1.2,1.2,0.9,0.0
10,Sesamum,Ahmadabad, 2014-15,Kharif     ,491.0,292,0.59,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
11,Urad,Ahmadabad, 2014-15,Kharif     ,15.0,11,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
12,Gram (channa),Ahmadabad, 2014-15,Rabi       ,23172.0,19476,0.84,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
13,Rapeseed &Mustard,Ahmadabad, 2014-15,Rabi       ,593.0,1079,1.82,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
14,Tobacco,Ahmadabad, 2014-15,Rabi       ,55.0,86,1.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.85
15,Wheat,Ahmadabad, 2014-15,Rabi       ,187637.0,365854,1.95,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
16,Bajra,Ahmadabad, 2014-15,Summer     ,1073.0,2966,2.76,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Moong(Green Gram),Ahmadabad, 2014-15,Summer     ,267.0,155,0.58,0.0,0.4,0.4,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Rice,Ahmadabad, 2014-15,Summer     ,8530.0,30715,3.6,1.05,1.05,1.2,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Sesamum,Ahmadabad, 2014-15,Summer     ,151.0,75,0.5,0.0,0.0,0.0,0.0,0.0,0.35,1.1,0.25,0.0,0.0,0.0,0.0
20,Guar seed,Ahmadabad, 2014-15,Whole Year ,6227.0,4817,0.77,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
21,Potato,Ahmadabad, 2014-15,Whole Year ,1180.0,30289,25.67,1.15,1.15,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
22,Arhar/Tur,Anand, 2014-15,Kharif     ,563.0,612,1.09,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
23,Bajra,Anand, 2014-15,Kharif     ,14197.0,17779,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
24,Castor seed,Anand, 2014-15,Kharif     ,1817.0,4071,2.24,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
25,Cotton(lint),Anand, 2014-15,Kharif     ,5239.0,27127,5.18,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
26,Maize,Anand, 2014-15,Kharif     ,177.0,221,1.25,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.2,0.35,0.0,0.0
27,Moong(Green Gram),Anand, 2014-15,Kharif     ,331.0,164,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
28,Moth,Anand, 2014-15,Kharif     ,6.0,3,0.5,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
29,Other Cereals,Anand, 2014-15,Kharif     ,34.0,12,0.35,0.0,0.0,0.0,0.0,0.0,0.3,1.15,1.15,0.4,0.0,0.0,0.0
30,Rice,Anand, 2014-15,Kharif     ,110222.0,308578,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1.2,1.2,0.9,0.0
31,Sesamum,Anand, 2014-15,Kharif     ,424.0,245,0.58,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
32,Tobacco,Anand, 2014-15,Kharif     ,12695.0,24977,1.97,0.0,0.0,0.0,0.0,0.0,0.0,0.43,0.84,0.44,0.0,0.0,0.0
33,Gram (channa),Anand, 2014-15,Rabi       ,2515.0,1853,0.74,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
34,Onion,Anand, 2014-15,Rabi       ,481.0,13410,27.88,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.77
35,Other  Rabi pulses,Anand, 2014-15,Rabi       ,30.0,23,0.77,1.15,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
36,Rapeseed &Mustard,Anand, 2014-15,Rabi       ,1369.0,1679,1.23,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
37,Small millets,Anand, 2014-15,Rabi       ,584.0,855,1.46,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
38,Tobacco,Anand, 2014-15,Rabi       ,64737.0,127370,1.97,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.85
39,Wheat,Anand, 2014-15,Rabi       ,65105.0,184970,2.84,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
40,Bajra,Anand, 2014-15,Summer     ,30979.0,92175,2.98,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Groundnut,Anand, 2014-15,Summer     ,31.0,57,1.84,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0
42,Maize,Anand, 2014-15,Summer     ,116.0,232,2.0,0.0,0.0,0.0,0.0,0.0,0.36,1.06,0.95,0.0,0.0,0.0,0.0
43,Moong(Green Gram),Anand, 2014-15,Summer     ,295.0,153,0.52,0.0,0.4,0.4,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Rice,Anand, 2014-15,Summer     ,544.0,1746,3.21,1.05,1.05,1.2,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Sesamum,Anand, 2014-15,Summer     ,2.0,1,0.5,0.0,0.0,0.0,0.0,0.0,0.35,1.1,0.25,0.0,0.0,0.0,0.0
46,Banana,Anand,ANAND,Whole Year ,11718.0,945441,80.68,1.1,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
47,Dry chillies,Anand, 2014-15,Whole Year ,2908.0,3100,1.07,0.52,0.8,0.8,1.05,1.05,1.05,0.78,0.0,0.0,0.0,0.0,0.0
48,Garlic,Anand, 2014-15,Whole Year ,324.0,1895,5.85,0.7,0.7,0.7,1.0,0.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0
49,Guar seed,Anand, 2014-15,Whole Year ,364.0,282,0.77,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
50,Potato,Anand, 2014-15,Whole Year ,3392.0,68380,20.16,1.15,1.15,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
51,Arhar/Tur,Banas_Kantha, 2014-15,Kharif     ,708.0,951,1.34,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
52,Bajra,Banas_Kantha, 2014-15,Kharif     ,44059.0,62965,1.43,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
53,Castor seed,Banas_Kantha, 2014-15,Kharif     ,133166.0,358576,2.69,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
54,Cotton(lint),Banas_Kantha, 2014-15,Kharif     ,41391.0,131413,3.17,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
55,Groundnut,Banas_Kantha, 2014-15,Kharif     ,53486.0,98034,1.83,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
56,Jowar,Banas_Kantha, 2014-15,Kharif     ,6500.0,6351,0.98,0.0,0.0,0.0,0.0,0.0,0.4,0.73,1.1,1.1,0.78,0.0,0.0
57,Maize,Banas_Kantha, 2014-15,Kharif     ,8137.0,13809,1.7,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.2,0.35,0.0,0.0
58,Moong(Green Gram),Banas_Kantha, 2014-15,Kharif     ,9142.0,5738,0.63,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
59,Moth,Banas_Kantha, 2014-15,Kharif     ,620.0,508,0.82,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
60,Other Cereals,Banas_Kantha, 2014-15,Kharif     ,890.0,648,0.73,0.0,0.0,0.0,0.0,0.0,0.3,1.15,1.15,0.4,0.0,0.0,0.0
61,Other Kharif pulses,Banas_Kantha, 2014-15,Kharif     ,1020.0,484,0.47,0.0,0.0,0.0,0.0,0.0,0.4,1.25,1.25,0.75,0.0,0.0,0.0
62,Sesamum,Banas_Kantha, 2014-15,Kharif     ,12033.0,6902,0.57,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
63,Urad,Banas_Kantha, 2014-15,Kharif     ,803.0,553,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
64,Gram (channa),Banas_Kantha, 2014-15,Rabi       ,15.0,15,1.0,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
65,Maize,Banas_Kantha, 2014-15,Rabi       ,345.0,847,2.46,1.2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2
66,Onion,Banas_Kantha, 2014-15,Rabi       ,6.0,167,27.83,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.77
67,Rapeseed &Mustard,Banas_Kantha, 2014-15,Rabi       ,122520.0,234859,1.92,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
68,Small millets,Banas_Kantha, 2014-15,Rabi       ,3615.0,5208,1.44,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.0
69,Tobacco,Banas_Kantha, 2014-15,Rabi       ,6760.0,10554,1.56,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42,0.42,0.85
70,Wheat,Banas_Kantha, 2014-15,Rabi       ,88025.0,272842,3.1,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
71,Bajra,Banas_Kantha, 2014-15,Summer     ,142497.0,365419,2.56,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,Groundnut,Banas_Kantha, 2014-15,Summer     ,6502.0,10836,1.67,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0
73,Moong(Green Gram),Banas_Kantha, 2014-15,Summer     ,1255.0,734,0.58,0.0,0.4,0.4,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,Dry chillies,Banas_Kantha, 2014-15,Whole Year ,140.0,128,0.91,0.52,0.8,0.8,1.05,1.05,1.05,0.78,0.0,0.0,0.0,0.0,0.0
75,Garlic,Banas_Kantha, 2014-15,Whole Year ,1.0,6,6.0,0.7,0.7,0.7,1.0,0.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0
76,Guar seed,Banas_Kantha, 2014-15,Whole Year ,75896.0,81398,1.07,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
77,Potato,Banas_Kantha, 2014-15,Whole Year ,52835.0,1343251,25.42,1.15,1.15,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5
78,Arhar/Tur,Bharuch, 2014-15,Kharif     ,63965.0,54191,0.85,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
79,Bajra,Bharuch, 2014-15,Kharif     ,120.0,196,1.63,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
80,Castor seed,Bharuch, 2014-15,Kharif     ,3550.0,4791,1.35,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
81,Cotton(lint),Bharuch, 2014-15,Kharif     ,99570.0,228811,2.3,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
82,Groundnut,Bharuch, 2014-15,Kharif     ,125.0,254,2.03,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
83,Jowar,Bharuch, 2014-15,Kharif     ,1000.0,1238,1.24,0.0,0.0,0.0,0.0,0.0,0.4,0.73,1.1,1.1,0.78,0.0,0.0
84,Maize,Bharuch, 2014-15,Kharif     ,195.0,243,1.25,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.2,0.35,0.0,0.0
85,Moong(Green Gram),Bharuch, 2014-15,Kharif     ,1310.0,1591,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
86,Moth,Bharuch, 2014-15,Kharif     ,250.0,108,0.43,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
87,Other Cereals,Bharuch, 2014-15,Kharif     ,100.0,66,0.66,0.0,0.0,0.0,0.0,0.0,0.3,1.15,1.15,0.4,0.0,0.0,0.0
88,Other Kharif pulses,Bharuch, 2014-15,Kharif     ,290.0,159,0.55,0.0,0.0,0.0,0.0,0.0,0.4,1.25,1.25,0.75,0.0,0.0,0.0
89,Rice,Bharuch, 2014-15,Kharif     ,8225.0,15762,1.92,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1.2,1.2,0.9,0.0
90,Sesamum,Bharuch, 2014-15,Kharif     ,150.0,21,0.14,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
91,Urad,Bharuch, 2014-15,Kharif     ,975.0,651,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
92,Gram (channa),Bharuch, 2014-15,Rabi       ,1860.0,557,0.3,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
93,Jowar,Bharuch, 2014-15,Rabi       ,4800.0,4128,0.86,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.73,1.1
94,Other  Rabi pulses,Bharuch, 2014-15,Rabi       ,4010.0,3053,0.76,1.15,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
95,Rapeseed &Mustard,Bharuch, 2014-15,Rabi       ,245.0,446,1.82,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
96,Wheat,Bharuch, 2014-15,Rabi       ,29300.0,47313,1.61,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
97,Bajra,Bharuch, 2014-15,Summer     ,315.0,578,1.83,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,Groundnut,Bharuch, 2014-15,Summer     ,406.0,840,2.07,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0
99,Moong(Green Gram),Bharuch, 2014-15,Summer     ,800.0,418,0.52,0.0,0.4,0.4,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,Rice,Bharuch, 2014-15,Summer     ,1680.0,5393,3.21,1.05,1.05,1.2,1.2,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Banana,Bharuch, 2014-15,Whole Year ,7650.0,526072,68.77,1.1,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
102,Sugarcane,Bharuch, 2014-15,Whole Year ,36425.0,2396401,65.79,0.4,0.4,1.25,1.25,1.2,1.2,1.2,1.2,1.2,1.2,0.75,0.75
103,Arhar/Tur,Bhavnagar, 2014-15,Kharif     ,704.0,766,1.09,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
104,Bajra,Bhavnagar, 2014-15,Kharif     ,37149.0,87586,2.36,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
105,Castor seed,Bhavnagar, 2014-15,Kharif     ,1027.0,2304,2.24,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
106,Cotton(lint),Bhavnagar, 2014-15,Kharif     ,210765.0,561520,2.66,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
107,Groundnut,Bhavnagar, 2014-15,Kharif     ,63714.0,118432,1.86,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
108,Jowar,Bhavnagar, 2014-15,Kharif     ,30.0,37,1.23,0.0,0.0,0.0,0.0,0.0,0.4,0.73,1.1,1.1,0.78,0.0,0.0
109,Maize,Bhavnagar, 2014-15,Kharif     ,1126.0,1406,1.25,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.2,0.35,0.0,0.0
110,Moong(Green Gram),Bhavnagar, 2014-15,Kharif     ,2950.0,1458,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
111,Moth,Bhavnagar, 2014-15,Kharif     ,996.0,430,0.43,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
112,Other Cereals,Bhavnagar, 2014-15,Kharif     ,5.0,3,0.6,0.0,0.0,0.0,0.0,0.0,0.3,1.15,1.15,0.4,0.0,0.0,0.0
113,Sesamum,Bhavnagar, 2014-15,Kharif     ,5639.0,5880,1.04,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
114,Urad,Bhavnagar, 2014-15,Kharif     ,1894.0,1331,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
115,Gram (channa),Bhavnagar, 2014-15,Rabi       ,583.0,596,1.02,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
116,Jowar,Bhavnagar, 2014-15,Rabi       ,575.0,819,1.42,0.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.73,1.1
117,Maize,Bhavnagar, 2014-15,Rabi       ,202.0,369,1.83,1.2,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.2
118,Onion,Bhavnagar, 2014-15,Rabi       ,21340.0,587529,27.53,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.77
119,Other  Rabi pulses,Bhavnagar, 2014-15,Rabi       ,36.0,12,0.33,1.15,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
120,Rapeseed &Mustard,Bhavnagar, 2014-15,Rabi       ,47.0,85,1.81,1.28,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,1.28
121,Wheat,Bhavnagar, 2014-15,Rabi       ,5494.0,15786,2.87,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
122,Bajra,Bhavnagar, 2014-15,Summer     ,234.0,707,3.02,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,Groundnut,Bhavnagar, 2014-15,Summer     ,4850.0,8346,1.72,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0
124,Moong(Green Gram),Bhavnagar, 2014-15,Summer     ,1936.0,1087,0.56,0.0,0.4,0.4,1.05,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,Onion,Bhavnagar, 2014-15,Summer     ,7530.0,215274,28.59,0.0,0.0,0.51,0.77,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0
126,Sesamum,Bhavnagar, 2014-15,Summer     ,2835.0,1060,0.37,0.0,0.0,0.0,0.0,0.0,0.35,1.1,0.25,0.0,0.0,0.0,0.0
127,Banana,Bhavnagar, 2014-15,Whole Year ,20.0,1475,73.75,1.1,1.0,1.0,1.0,1.2,1.2,1.2,1.2,1.2,1.1,1.1,1.1
128,Dry chillies,Bhavnagar, 2014-15,Whole Year ,58.0,57,0.98,0.52,0.8,0.8,1.05,1.05,1.05,0.78,0.0,0.0,0.0,0.0,0.0
129,Garlic,Bhavnagar, 2014-15,Whole Year ,62.0,363,5.85,0.7,0.7,0.7,1.0,0.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0
130,Guar seed,Bhavnagar, 2014-15,Whole Year ,432.0,334,0.77,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
131,Sugarcane,Bhavnagar, 2014-15,Whole Year ,41.0,2885,70.37,0.4,0.4,1.25,1.25,1.2,1.2,1.2,1.2,1.2,1.2,0.75,0.75
132,Arhar/Tur,Batod, 2014-15,Kharif     ,82.0,89,1.09,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
133,Bajra,Batod, 2014-15,Kharif     ,721.0,1824,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.42,0.73,0.42,0.0,0.0
134,Castor seed,Batod, 2014-15,Kharif     ,205.0,592,2.89,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
135,Cotton(lint),Batod, 2014-15,Kharif     ,169914.0,411669,2.42,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
136,Groundnut,Batod, 2014-15,Kharif     ,108.0,312,2.89,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
137,Moong(Green Gram),Batod, 2014-15,Kharif     ,174.0,86,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
138,Moth,Batod, 2014-15,Kharif     ,35.0,15,0.43,0.0,0.0,0.0,0.0,0.0,0.4,1.15,1.15,0.35,0.0,0.0,0.0
139,Other Cereals,Batod, 2014-15,Kharif     ,169.0,96,0.57,0.0,0.0,0.0,0.0,0.0,0.3,1.15,1.15,0.4,0.0,0.0,0.0
140,Sesamum,Batod, 2014-15,Kharif     ,6159.0,5364,0.87,0.0,0.0,0.0,0.0,0.0,0.38,0.73,0.73,0.98,0.63,0.0,0.0
141,Urad,Batod, 2014-15,Kharif     ,75.0,53,0.71,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.13,0.4,0.0,0.0
142,Gram (channa),Batod, 2014-15,Rabi       ,70.0,40,0.57,1.05,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.05
143,Onion,Batod, 2014-15,Rabi       ,50.0,1394,27.88,1.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51,0.77
144,Wheat,Batod, 2014-15,Rabi       ,7155.0,11826,1.65,1.15,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.15
145,Bajra,Batod, 2014-15,Summer     ,82.0,215,2.62,0.0,0.33,0.42,0.73,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Groundnut,Batod, 2014-15,Summer     ,3.0,6,2.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0,0.0,0.0,0.0,0.0
147,Sesamum,Batod, 2014-15,Summer     ,57.0,25,0.44,0.0,0.0,0.0,0.0,0.0,0.35,1.1,0.25,0.0,0.0,0.0,0.0
148,Garlic,Batod, 2014-15,Whole Year ,5.0,29,5.8,0.7,0.7,0.7,1.0,0.7,0.7,0.0,0.0,0.0,0.7,0.7,1.0
149,Guar seed,Batod, 2014-15,Whole Year ,185.0,143,0.77,0.0,0.0,0.44,0.44,1.03,0.63,0.44,0.44,1.03,0.63,0.0,0.0
150,Arhar/Tur,Chhota_Udaipur, 2014-15,Kharif     ,22180.0,38458,1.73,0.0,0.0,0.0,0.0,0.0,0.4,0.57,1.01,1.01,0.99,0.0,0.0
151,Castor seed,Chhota_Udaipur, 2014-15,Kharif     ,1463.0,3179,2.17,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1.15,1.15,0.55
152,Cotton(lint),Chhota_Udaipur, 2014-15,Kharif     ,84520.0,402043,4.76,0.0,0.0,0.0,0.0,0.0,0.35,0.35,0.35,1.15,1.15,1.15,0.5
153,Groundnut,Chhota_Udaipur, 2014-15,Kharif     ,430.0,872,2.03,0.0,0.0,0.0,0.0,0.0,0.4,0.4,1.15,1.15,0.6,0.0,0.0
154,Jowar,Chhota_Udaipur, 2014-15,Kharif     ,22.0,35,1.59,0.0,0.0,0.0,0.0,0.0,0.4,0.73,1.1,1.1,0.78,0.0,0.0
155,Maize,Chhota_Udaipur, 2014-15,Kharif     ,28282.0,60656,2.14,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.2,0.35,0.0,0.0
156,Moong(Green Gram),Chhota_Udaipur, 2014-15,Kharif     ,207.0,102,0.49,0.0,0.0,0.0,0.0,0.0,0.0,0.4,1.05,1.05,0.6,0.0,0.0
157,Other Kharif pulses,Chhota_Udaipur, 2014-15,Kharif     ,30.0,14,0.47,0.0,0.0,0.0,0.0,0.0,0.4,1.25,1.25,0.75,0.0,0.0,0.0
158,Rice,Chhota_Udaipur, 2014-15,Kharif     ,18541.0,25944,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.05,1.05,1.2,1.2,0.9,0.0
